invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-56216600003,2023-02-27,5354,KIMMES WALL LAKE,129 CENTER STREET,WALL LAKE,51466,POINT(-95.09061 42.27132),,SAC,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11290,CROWN ROYAL MINI,10,50,9.95,14.93,1,14.93,0.05,0.01
INV-30021200066,2020-09-08,5873,WEST D LIQUORS,5014 EP TRUE PKWY,WEST DES MOINES,50265.0,POINT(-93.772974 41.572144),77,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-25044000013,2020-02-05,4429,KUM & GO #32 / COLFAX,1200 N WALNUT ST,COLFAX,50054,POINT(-93.247234 41.686844),50,JASPER,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,10,50,6.8,10.2,1,10.2,0.05,0.01
INV-33877200024,2021-01-29,5338,KUM & GO #539/ NW 2ND AVE,5050 NW 2ND AVE,DES MOINES,50313.0,,77,POLK,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-72985000001,2024-08-07,4397,QUIK TRIP #514 / ANKENY,802 E 1ST ST,ANKENY,50021.0,POINT(-93.58630804 41.73249201),,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.87,13.31,1,13.31,0.05,0.01
INV-34665800027,2021-03-01,4921,MARKET EXPRESS,5340 16TH AVE SW,CEDAR RAPIDS,52404.0,POINT(-91.739906 41.963888),57,LINN,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-30122700018,2020-09-10,2565,HY-VEE FOOD STORE #1636 / SPENCER,819 N GRAND AVE,SPENCER,51301.0,POINT(-95.14506 43.145897),21,CLAY,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-25008900126,2020-02-04,5423,STAMMER LIQUOR CORP,615 2ND AVE,SHELDON,51201,POINT(-95.854899 43.184242),71,O'BRIEN,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,10,50,6.8,10.2,1,10.2,0.05,0.01
INV-51280100013,2022-09-16,5252,FREEMAN FOODS OF NORTH ENGLISH,"119, MAIN ST",NORTH ENGLISH,52316,POINT(-92.094549 41.453289),,IOWA,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-44193600001,2022-01-27,4446,QUIK TRIP #513 / URBANDALE,4600 MERLE HAY RD,URBANDALE,50322.0,POINT(-93.697976 41.644476),77,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-35528600001,2021-04-02,4548,CASEY'S GENERAL STORE #2594 / WALKER,401 GRANT ST,WALKER,52352.0,POINT(-91.781945 42.283922),57,LINN,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-57053500006,2023-03-29,4725,CASEY'S GENERAL STORE #1548 / ANKENY,2905 W 1ST ST,ANKENY,50023,POINT(-93.63847 41.73132),,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.87,13.31,1,13.31,0.05,0.01
INV-40432800014,2021-09-27,4518,CASEY'S GENERAL STORE #2824 / WDM,6630 MILLS CIVIC PARKWAY,WEST DES MOINES,50266.0,POINT(-93.799283 41.561791),77,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-60299600005,2023-07-14,5664,CASEY'S GENERAL STORE #45 / DES MOINES,2890 E BROADWAY AVE,DES MOINES,50317.0,POINT(-93.526717877 41.644110046),,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.87,13.31,1,13.31,0.05,0.01
INV-25905200179,2020-03-16,2614,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,1823 E KIMBERLY RD,DAVENPORT,52807.0,POINT(-90.548919 41.556781),82,SCOTT,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,10,50,6.8,10.2,1,10.2,0.05,0.01
INV-65887300003,2024-01-03,5649,THE DEPOT TIFFIN,221 W MARENGO RD,TIFFIN,52340.0,POINT(-91.665702468 41.706714724),,JOHNSON,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.87,13.31,1,13.31,0.05,0.01
INV-25849400025,2020-03-13,4601,KUM & GO #4110 / GUTHRIE DM,2110 GUTHRIE AVE,DES MOINES,50317.0,POINT(-93.578778 41.61508),77,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,10,50,6.8,10.2,1,10.2,0.05,0.01
INV-53277800053,2022-11-22,2578,HY-VEE / CHARLES CITY,901 KELLY ST,CHARLES CITY,50616,POINT(-92.67553 43.06702),,FLOYD,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-31554600012,2020-10-30,4186,H AND A MINI MART /BP,5901 FLEUR DR,DES MOINES,50321.0,POINT(-93.644946 41.531145),77,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-52307100027,2022-10-21,4361,QUIK TRIP #538 / NW 2ND / DSM,4575 NW 2ND,DES MOINES,50313,POINT(-93.619906 41.643664),,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-59247800005,2023-06-09,4596,QUIK TRIP #534 / E UNIVERSITY DM,2945 E UNIVERSITY,DES MOINES,50317.0,POINT(-93.558979013 41.600038997),,POLK,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.87,13.31,1,13.31,0.05,0.01
INV-25849600004,2020-03-13,4377,QUIK TRIP #562 / NE 14TH / DSM,4801 NE 14TH ST,DES MOINES,50313.0,POINT(-93.600266 41.648602),77,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,10,50,6.8,10.2,1,10.2,0.05,0.01
INV-65533000003,2023-12-21,4675,KUM & GO #1113 / AMES,2801 E 13TH ST,AMES,50010.0,POINT(-93.575810964 42.035150003),,STORY,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.87,13.31,1,13.31,0.05,0.01
INV-70645300002,2024-05-29,3993,NEW STAR LIQUOR / W 4TH S / WATERLOO,1625 WEST 4TH ST,WATERLOO,50701.0,POINT(-92.356193006 42.484164994),,BLACK HAWK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.87,13.31,1,13.31,0.05,0.01
INV-35938200002,2021-04-19,4861,THE STATION / CEDAR RAPIDS,3645 STONE CREEK CIRCLE SW,CEDAR RAPIDS,52404.0,POINT(-91.747514 41.943626),57,LINN,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-35856600001,2021-04-16,5499,KUM & GO #184 / ALTOONA,1430 1ST AVE NORTH,ALTOONA,50009.0,POINT(-93.464656 41.663525),77,POLK,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-45647800025,2022-03-16,4239,FAREWAY STORES #850 / SPIRIT LAKE,1906 KEOKUK,SPIRIT LAKE,51360.0,POINT(-95.106219 43.42157),30,DICKINSON,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-73869200007,2024-09-04,5522,CASEY'S GENERAL STORE #3653 / GREENE,209 W SOUTH ST,GREENE,50636.0,POINT(-92.81278 42.89076),,BUTLER,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.87,13.31,1,13.31,0.05,0.01
INV-23178000122,2019-11-12,2571,HY-VEE FOOD STORE #2 / WATERLOO,2181 LOGAN AVE,WATERLOO,50703.0,POINT(-92.337583 42.530476),7,BLACK HAWK,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,10,50,6.8,10.2,1,10.2,0.05,0.01
INV-36615100144,2021-05-14,2548,HY-VEE FOOD STORE / ALTOONA,100 8TH STREET SW,ALTOONA,50009.0,POINT(-93.465301 41.644041),77,POLK,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-41891400026,2021-11-11,2652,HY-VEE DRUGSTORE / MASON CITY,875  4TH ST SW,MASON CITY,50401.0,POINT(-93.213856 43.148257),17,CERRO GORDO,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-23487400047,2019-11-26,3917,SMOKIN' JOE'S #2 TOBACCO AND LIQUOR OUTLET,1606 W LOCUST ST,DAVENPORT,52804.0,POINT(-90.599037 41.538254),82,SCOTT,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,10,50,6.8,10.2,1,10.2,0.05,0.01
INV-45556100020,2022-03-14,5417,CASEY'S GENERAL STORE # 2792/CEDAR RAPIDS,9001 6TH STREET SW,CEDAR RAPIDS,52404.0,POINT(-91.675979 41.88924),57,LINN,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-68241500006,2024-03-14,5080,C'S LIQUOR STORE,719 2ND AVE W,SPENCER,51301.0,POINT(-95.148026 43.14545998),,CLAY,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.87,13.31,1,13.31,0.05,0.01
INV-45004900018,2022-07-18,4594,QUIK TRIP #554 / SW 63RD DM,901 SW 63RD ST,DES MOINES,50312,POINT(-93.703165 41.569715),,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-44796100008,2022-02-16,4397,QUIK TRIP #514 / ANKENY,802 E 1ST ST,ANKENY,50021.0,POINT(-93.586342 41.731862),77,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-23186000017,2019-11-12,4589,DYNO'S #53 / SIBLEY,1026 2ND AVE,SIBLEY,51249.0,POINT(-95.752119 43.397431),72,OSCEOLA,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,10,50,6.8,10.2,1,10.2,0.05,0.01
INV-45760700039,2022-03-21,5092,KUM & GO #3035 / WEST DES MOINES,7265 VISTA DR,WEST DES MOINES,50265.0,POINT(-93.807839 41.589057),77,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-67851400003,2024-03-01,5507,QUIK TRIP #559 / FLEUR,4021 FLEUR DR,DES MOINES,50321.0,POINT(-93.644018031 41.547779004),,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.87,13.31,1,13.31,0.05,0.01
INV-45809100013,2022-03-22,6276,KWIK STAR #1160 / LE MARS,321 5TH AVE SW,LE MARS,51031.0,POINT(-96.173752 42.788772),75,PLYMOUTH,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-68814400003,2024-04-02,5567,KUM & GO #3504 / IOWA CITY,1310 S GILBERT ST,IOWA CITY,52240.0,POINT(-91.5317185 41.646137746),,JOHNSON,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.87,13.31,1,13.31,0.05,0.01
INV-45030700053,2022-07-18,6331,MAIN STREET TOBACCO SHOP / MAQUOKETA,113 NORTH MAIN STREET,MAQUOKETA,52060,POINT(-90.665532 42.069736),,JACKSON,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-42071200044,2021-11-16,4891,SCHOTTSY'S LIQUOR,109 5TH ST,SIBLEY,51249.0,POINT(-95.759943 43.403935),72,OSCEOLA,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-37825400004,2021-06-25,5253,THE CORNER STORE,"4200, LEWIS ACCESS RD",CENTER POINT,52213.0,POINT(-91.774711 42.181816),57,LINN,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-48634200022,2022-06-23,5057,KUM & GO #535 / DES MOINES,4960 E BROADWAY AVE,DES MOINES,50317,,77,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-23939300190,2019-12-16,2614,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,1823 E KIMBERLY RD,DAVENPORT,52807.0,POINT(-90.548919 41.556781),82,SCOTT,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,10,50,6.8,10.2,1,10.2,0.05,0.01
INV-56565000013,2023-03-10,2543,HY-VEE FOOD STORE #1 (1504) / OTTUMWA,1025 NORTH QUINCY AVE,OTTUMWA,52501,POINT(-92.43845 41.01581),,WAPELLO,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.87,13.31,1,13.31,0.05,0.01
INV-74228400006,2024-09-13,2624,HY-VEE #2 / DUBUQUE,2395 NW ARTERIAL RD,DUBUQUE,52002.0,POINT(-90.74394 42.51674),,DUBUQUE,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.87,13.31,1,13.31,0.05,0.01
INV-58451500005,2023-05-15,4921,MARKET EXPRESS,5340 16TH AVE SW,CEDAR RAPIDS,52404.0,POINT(-91.739775358 41.964508664),,LINN,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.87,13.31,1,13.31,0.05,0.01
INV-72380200005,2024-07-20,4370,KUM & GO #240 / NORTH AVE NORWALK,530 NORTH AVE,NORWALK,50211.0,POINT(-93.681877998 41.475044997),,WARREN,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.87,13.31,1,13.31,0.05,0.01
INV-31604000001,2020-11-02,4861,THE STATION / CEDAR RAPIDS,3645 STONE CREEK CIRCLE SW,CEDAR RAPIDS,52404.0,POINT(-91.747514 41.943626),57,LINN,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-40823700001,2021-10-08,4411,KUM & GO #95 / DE SOTO,1203 GUTHRIE ST,DE SOTO,50069.0,,25,DALLAS,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-22209400004,2019-09-30,4547,FAREWAY STORES #902 / HAMPTON,309 CENTRAL AVE WEST,HAMPTON,50441.0,POINT(-93.211676 42.741748),35,FRANKLIN,1012100.0,CANADIAN WHISKIES,115.0,CONSTELLATION BRANDS INC,11771,BLACK VELVET MINI,10,50,6.8,10.2,1,10.2,0.05,0.01
INV-34481300030,2021-02-22,4950,KUM & GO #514 / CEDAR RAPIDS,1420 MT VERNON RD,CEDAR RAPIDS,52403.0,POINT(-91.651424 41.97769),57,LINN,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-23935500030,2019-12-16,2691,HY-VEE FAST & FRESH - DES MOINES,5801 HICKMAN ROAD,URBANDALE,50322.0,POINT(-93.698172 41.614888),77,POLK,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,10,50,6.8,10.2,1,10.2,0.05,0.01
INV-72363200006,2024-07-20,4880,CASEY'S GENERAL STORE #1567 / ANITA,912 MAIN ST,ANITA,50020.0,POINT(-94.767734024 41.44324502),,CASS,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.87,13.31,1,13.31,0.05,0.01
INV-68474700008,2024-03-21,4687,KUM & GO #517 / CEDAR RAPIDS,3132 1ST AVE NE,CEDAR RAPIDS,52402.0,POINT(-91.635495346 42.009648188),,LINN,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.87,13.31,1,13.31,0.05,0.01
INV-46147000013,2022-04-04,2670,HY-VEE FOOD STORE / CORALVILLE,2004 8TH  ST,CORALVILLE,52241,POINT(-91.591906 41.682347),52,JOHNSON,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-28142800025,2020-06-19,4482,INDY 66 WEST #929 / INDIANOLA,2001 W 2ND AVE,INDIANOLA,50125.0,POINT(-93.587628 41.356153),91,WARREN,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-32926500003,2020-12-22,5619,CASEY'S GENERAL STORE #3041 / ELK RUN HEIGHTS,5202 LAFAYETTE RD,EVANSDALE,50707.0,POINT(-92.257902 42.469069),7,BLACK HAWK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-56123400032,2023-02-23,5254,DISCOUNT LIQUOR,2933 1ST AVE SE,CEDAR RAPIDS,52402,POINT(-91.63485 42.0071),,LINN,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.87,13.31,1,12.75,0.05,0.01
INV-22418300019,2019-10-09,2625,HY-VEE WINE & SPIRITS #2 / DAVENPORT,3301 W KIMBERLY RD,DAVENPORT,52804.0,,82,SCOTT,1012100.0,CANADIAN WHISKIES,115.0,CONSTELLATION BRANDS INC,11771,BLACK VELVET MINI,10,50,6.8,10.2,1,10.2,0.05,0.01
INV-33692400029,2021-01-22,5561,CASEY'S GENERAL STORE #32 / MADRID,117 N KENNEDY AVE,MADRID,50156.0,POINT(-93.815677 41.877618),8,BOONE,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-46078900003,2022-03-31,2536,HY-VEE / PLEASANT HILL,4815 MAPLE DRIVE,PLEASANT HILL,50317.0,POINT(-93.519491 41.598133),77,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-59942500002,2023-07-03,5716,BIG 10 MART #69,2480 EAST 53RD,BETTENDORF,52722.0,POINT(-90.498018028 41.575682988),,SCOTT,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.87,13.31,1,13.31,0.05,0.01
INV-60078300019,2023-07-07,2651,HY-VEE / WAVERLY,1311 4 STREET SW,WAVERLY,50677.0,POINT(-92.473949023 42.712225012),,BREMER,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.87,13.31,1,13.31,0.05,0.01
INV-45433500009,2022-08-02,6331,MAIN STREET TOBACCO SHOP / MAQUOKETA,113 NORTH MAIN STREET,MAQUOKETA,52060.0,POINT(-90.665532 42.069736),,JACKSON,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-27483900020,2020-05-26,4025,KARAM KAUR KHASRIYA LLC,702 13TH ST,BELLE PLAINE,52208.0,POINT(-92.277759 41.897052),6,BENTON,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-33555900086,2021-01-18,5176,SMOKIN' JOE'S #15 TOBACCO AND LIQUOR OUTLET,455 EDGEWOOD RD NW,CEDAR RAPIDS,52405.0,POINT(-91.715903 41.97805),57,LINN,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-28258500009,2020-06-24,5314,TOBACCO HUT & LIQUOR,3134 MANAWA CENTER DR. # 9,COUNCIL BLUFFS,51501.0,POINT(-95.847514 41.228712),78,POTTAWATTAMIE,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-56834800005,2023-03-21,4185,FAREWAY STORES #737 / GRINNELL,727 WEST STREET,GRINNELL,50112,POINT(-92.72735 41.74124),,POWESHIEK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.87,13.31,1,13.31,0.05,0.01
INV-72132900009,2024-07-12,2606,HY-VEE WINE AND SPIRITS / HUMBOLDT,1011  13TH ST NORTH,HUMBOLDT,50548.0,POINT(-94.226730035 42.733207011),,HUMBOLDT,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.87,13.31,1,13.31,0.05,0.01
INV-26507000027,2020-04-13,4765,KWIK STOP C-STORES / DUBUQUE,2335 UNIVERSITY AVE,DUBUQUE,52001.0,POINT(-90.696858 42.499518),31,DUBUQUE,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,10,50,6.8,10.2,1,10.2,0.05,0.01
INV-43772200007,2022-01-13,4505,CASEY'S GENERAL STORE #2816 / JOHNSTON,6417 NORTHGLEN DR,JOHNSTON,50131.0,POINT(-93.706057 41.688076),77,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-37958100016,2021-06-30,4254,FAREWAY STORES #849 / EMMETSBURG,2008  12TH ST,EMMETSBURG,50536.0,POINT(-94.677307 43.109244),74,PALO ALTO,1012100.0,CANADIAN WHISKIES,421,SAZERAC COMPANY  INC,12853,RICH & RARE RESERVE MINI,5,50,5.16,7.74,1,7.74,0.05,0.01
INV-30289000013,2020-09-16,4592,DYNO'S #29 / EMMETSBURG,"2401, MAIN",EMMETSBURG,50536.0,POINT(-94.681939 43.111913),74,PALO ALTO,1012100.0,CANADIAN WHISKIES,421,SAZERAC COMPANY  INC,12871,CANADIAN RICH AND RARE PEACH,10,50,6.0,9.0,1,9.0,0.05,0.01
INV-74629500004,2024-09-25,6245,NEIGHBORHOOD LIQUOR HOUSE / ANKENY,"833 EAST 1ST STREET, SUITE 102",ANKENY,50021,POINT(-93.58567 41.73168),,POLK,1012100.0,CANADIAN WHISKIES,395,PROXIMO,14191,PENDLETON ORIGINAL MINI,10,50,11.94,17.91,1,17.91,0.05,0.01
INV-42632900003,2021-12-06,4967,JEFF'S MARKET / BLUE GRASS,"102, W MAYNE ST",BLUE GRASS,52726.0,POINT(-90.766126 41.509119),82,SCOTT,1012100.0,CANADIAN WHISKIES,380,PHILLIPS BEVERAGE,14492,REVEL STOKE ROASTED PECAN MINI,12,50,4.6,6.9,1,6.9,0.05,0.01
INV-26188100043,2020-03-30,2616,HY-VEE FOOD AND DRUG / CLINTON,901 SOUTH 4TH ST,CLINTON,52732.0,POINT(-90.193204 41.836268),23,CLINTON,1012100.0,CANADIAN WHISKIES,380,PHILLIPS BEVERAGE,14498,REVEL STOKE SMOKED VANILLA MINI,1,50,29.34,44.01,1,44.01,0.05,0.01
INV-42011000011,2021-11-16,2616,HY-VEE FOOD AND DRUG / CLINTON,901 SOUTH 4TH ST,CLINTON,52732.0,POINT(-90.193204 41.836268),23,CLINTON,1012100.0,CANADIAN WHISKIES,380,PHILLIPS BEVERAGE,14498,REVEL STOKE SMOKED VANILLA MINI,1,50,29.34,44.01,1,44.01,0.05,0.01
INV-07484200023,2017-09-27,4251,AJ'S LIQUOR / AMES,4518 MORTENSON RD STE 109,AMES,50014,,85,STORY,1012100.0,CANADIAN WHISKIES,380,PHILLIPS BEVERAGE,14512,REVEL STOKE HONEY MINI,12,50,4.89,7.34,1,7.34,0.05,0.01
INV-31488100069,2020-10-29,2532,HY-VEE FOOD STORE #2 / DES MOINES,2540 E EUCLID,DES MOINES,50317.0,POINT(-93.569452 41.627838),77,POLK,1012100.0,CANADIAN WHISKIES,380,PHILLIPS BEVERAGE,14518,REVEL STOKE PEANUT BUTTER WHISKY MINI,12,50,4.6,6.9,1,6.9,0.05,0.01
INV-24941200015,2020-01-31,4291,FAREWAY STORES #597 / CRESTON,105 E ADAMS ST,CRESTON,50801.0,POINT(-94.237509 40.715722),88,UNION,1012100.0,CANADIAN WHISKIES,380,PHILLIPS BEVERAGE,14518,REVEL STOKE PEANUT BUTTER WHISKY MINI,12,50,4.89,7.34,1,7.34,0.05,0.01
INV-34402500037,2021-02-18,4234,FAREWAY STORES #788 / SPENCER,104 E EIGHTH ST,SPENCER,51301.0,POINT(-95.143388 43.145797),21,CLAY,1012100.0,CANADIAN WHISKIES,380.0,PHILLIPS BEVERAGE,14518,REVEL STOKE PEANUT BUTTER WHISKY MINI,12,50,4.6,6.9,1,6.9,0.05,0.01
